trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 0.2, 'e': 0.9075560061332727}",30,0,-176.48251231352455,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
98,False,"{'a': 0.2, 'e': 0.9066489037539209}",25,0,-181.4503598783284,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
99,False,"{'a': 0.2, 'e': 0.9057427080235485}",20,0,-64.34387946881081,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
100,False,"{'a': 0.2, 'e': 0.9048374180359595}",20,0,-78.72003243031506,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
101,False,"{'a': 0.2, 'e': 0.9039330328858641}",30,0,-207.8942437824458,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
102,False,"{'a': 0.2, 'e': 0.9030295516688768}",20,0,-136.37834377699915,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
103,False,"{'a': 0.2, 'e': 0.9021269734815165}",30,0,-99.60157475967912,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
104,False,"{'a': 0.2, 'e': 0.9012252974212047}",30,0,-154.3462928921972,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
105,False,"{'a': 0.2, 'e': 0.9003245225862656}",20,0,-103.29278329614883,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
106,False,"{'a': 0.2, 'e': 0.899424648075924}",20,0,-99.46346203241657,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",1
107,False,"{'a': 0.2, 'e': 0.8985256729903055}",20,0,-126.05867065344252,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
108,False,"{'a': 0.2, 'e': 0.8976275964304349}",25,0,-205.820496041714,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
109,False,"{'a': 0.2, 'e': 0.8967304174982355}",25,0,-180.42557001720678,"{0: 13, 1: 0, 2: 8, 3: 2, 4: 2}",0
110,False,"{'a': 0.2, 'e': 0.8958341352965282}",30,0,-171.06977738615558,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
111,False,"{'a': 0.2, 'e': 0.894938748929031}",30,0,-165.30280801677551,"{0: 13, 1: 6, 2: 9, 3: 1, 4: 1}",0
112,False,"{'a': 0.2, 'e': 0.8940442575003572}",25,0,-152.86042315772588,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
113,False,"{'a': 0.2, 'e': 0.8931506601160155}",30,0,-118.31886816732258,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
114,False,"{'a': 0.2, 'e': 0.8922579558824083}",20,0,-85.5675519989799,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
115,False,"{'a': 0.2, 'e': 0.8913661439068313}",20,0,-114.69559721083924,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
116,False,"{'a': 0.2, 'e': 0.8904752232974726}",20,0,-83.37181945986751,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
117,False,"{'a': 0.2, 'e': 0.8895851931634113}",30,0,-215.4142899971061,"{0: 15, 1: 1, 2: 9, 3: 3, 4: 2}",0
118,False,"{'a': 0.2, 'e': 0.8886960526146174}",20,0,-45.081183184527205,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
119,False,"{'a': 0.2, 'e': 0.8878078007619501}",25,0,-132.8411793908603,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
120,False,"{'a': 0.2, 'e': 0.8869204367171575}",20,0,-49.39123873602437,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
121,False,"{'a': 0.2, 'e': 0.8860339595928756}",30,0,-133.24977696938268,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
122,False,"{'a': 0.2, 'e': 0.8851483685026271}",25,0,-108.05226953260139,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
123,False,"{'a': 0.2, 'e': 0.8842636625608209}",20,0,-173.6010819738992,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
124,False,"{'a': 0.2, 'e': 0.8833798408827509}",25,5,-56.26105562006611,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
125,False,"{'a': 0.2, 'e': 0.8824969025845955}",25,14,-11.455436305615068,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
